opportunity_id,customer_id,opportunity_name,stage,close_date,expected_close_date,amount,arr_amount,currency,product_line,sales_owner,probability,legal_entity,billing_model,billing_frequency,payment_terms,contract_start_date,contract_end_date,closed_won_flag,source_system,last_updated_at
OPP-001,CUST-004,Aquila Mid-Market Co. - Implementation Services FY26,Closed Won,2026-06-06,2026-07-16,48000,36000,MXN,Usage Analytics,Tom Wilson,100,BLEND360-MX,Professional Services,Quarterly,Net 15,2026-07-06,2027-07-05,True,Salesforce,2026-07-04
OPP-002,CUST-007,Nexo SMB Co. - Usage Analytics FY26,Closed Won,2026-06-07,2026-07-17,24000,18000,USD,Implementation Services,Lucia Santos,100,BLEND360-US,Subscription,Monthly,Net 60,2026-07-11,2027-07-10,True,Salesforce,2026-07-05
OPP-003,CUST-010,Rio Strategic Co. - SaaS Platform FY26,Closed Won,2026-06-08,2026-07-18,36000,36000,MXN,Implementation Services,Ava Miller,100,BLEND360-MX,Milestone,Monthly,Net 45,2026-07-16,2027-07-15,True,Salesforce,2026-07-06
OPP-004,CUST-013,Lumen Enterprise Co. - Managed Services FY26,Closed Won,2026-06-09,2026-07-19,60000,45000,USD,Managed Services,Mia Johnson,100,BLEND360-US,Subscription,Annual,Net 30,2026-07-01,2027-06-30,True,Salesforce,2026-07-07
OPP-005,CUST-016,Bluefin Mid-Market Co. - Implementation Services FY26,Closed Won,2026-06-10,2026-07-20,24000,18000,MXN,SaaS Platform,Diego Perez,100,BLEND360-MX,Subscription,Annual,Net 15,2026-07-06,2027-07-05,True,Salesforce,2026-07-03
OPP-006,CUST-019,Solara SMB Co. - Implementation Services FY26,Closed Won,2026-06-11,2026-07-21,18000,13500,USD,Usage Analytics,Tom Wilson,100,BLEND360-US,Subscription,Quarterly,Net 60,2026-07-11,2027-07-10,True,Salesforce,2026-07-04
OPP-007,CUST-022,Aster Strategic Co. - Managed Services FY26,Closed Won,2026-06-12,2026-07-22,24000,24000,MXN,Usage Analytics,Lucia Santos,100,BLEND360-MX,Milestone,Quarterly,Net 45,2026-07-16,2027-07-15,True,Salesforce,2026-07-05
OPP-008,CUST-025,Zenith Enterprise Co. - Implementation Services FY26,Closed Won,2026-06-13,2026-07-23,18000,13500,USD,Usage Analytics,Ava Miller,100,BLEND360-US,Usage-Based,Monthly,Net 30,2026-07-01,2027-06-30,True,Salesforce,2026-07-06
OPP-009,CUST-003,Pampas SMB Co. - Managed Services FY26,Closed Won,2026-06-14,2026-07-24,36000,36000,BRL,Usage Analytics,Mia Johnson,100,BLEND360-BR,Milestone,Monthly,Net 60,2026-07-06,2027-07-05,True,Salesforce,2026-07-07
OPP-010,CUST-006,Atlas Strategic Co. - SaaS Platform FY26,Closed Won,2026-06-15,2026-07-25,18000,18000,EUR,Managed Services,Diego Perez,100,BLEND360-EU,Milestone,Monthly,Net 45,2026-07-11,2027-07-10,True,Salesforce,2026-07-03
OPP-011,CUST-009,Summit Enterprise Co. - Implementation Services FY26,Closed Won,2026-06-16,2026-07-26,18000,13500,BRL,Managed Services,Tom Wilson,100,BLEND360-BR,Professional Services,Annual,Net 30,2026-07-16,2027-07-15,True,Salesforce,2026-07-04
OPP-012,CUST-012,Nova Mid-Market Co. - Usage Analytics FY26,Closed Won,2026-06-17,2026-07-27,36000,36000,EUR,Usage Analytics,Lucia Santos,100,BLEND360-EU,Usage-Based,Annual,Net 15,2026-07-01,2027-06-30,True,Salesforce,2026-07-05
OPP-013,CUST-015,Horizon SMB Co. - Implementation Services FY26,Closed Won,2026-06-18,2026-07-28,48000,48000,BRL,Managed Services,Ava Miller,100,BLEND360-BR,Milestone,Monthly,Net 60,2026-07-06,2027-07-05,True,Salesforce,2026-07-06
OPP-014,CUST-018,Patagonia Strategic Co. - Managed Services FY26,Closed Won,2026-06-19,2026-07-29,18000,13500,EUR,SaaS Platform,Mia Johnson,100,BLEND360-EU,Subscription,Monthly,Net 45,2026-07-11,2027-07-10,True,Salesforce,2026-07-07
OPP-015,CUST-021,Meridian Enterprise Co. - Usage Analytics FY26,Closed Won,2026-06-20,2026-07-30,60000,60000,BRL,SaaS Platform,Diego Perez,100,BLEND360-BR,Professional Services,Quarterly,Net 30,2026-07-16,2027-07-15,True,Salesforce,2026-07-03
OPP-016,CUST-024,Faro Mid-Market Co. - Managed Services FY26,Closed Won,2026-06-21,2026-07-31,48000,48000,EUR,SaaS Platform,Tom Wilson,100,BLEND360-EU,Subscription,Annual,Net 15,2026-07-01,2027-06-30,True,Salesforce,2026-07-04
OPP-017,CUST-002,Andes Strategic Co. - Implementation Services FY26,Closed Won,2026-06-22,2026-08-01,48000,48000,ARS,SaaS Platform,Lucia Santos,100,BLEND360-AR,Milestone,Quarterly,Net 45,2026-07-06,2027-07-05,True,Salesforce,2026-07-05
OPP-018,CUST-005,Cobalt Enterprise Co. - Managed Services FY26,Closed Won,2026-06-23,2026-08-02,18000,13500,GBP,Implementation Services,Ava Miller,100,BLEND360-UK,Usage-Based,Annual,Net 30,2026-07-11,2027-07-10,True,Salesforce,2026-07-06
OPP-019,CUST-008,Verde Mid-Market Co. - Implementation Services FY26,Proposal,,2026-08-03,12000,9000,ARS,Usage Analytics,Mia Johnson,60,BLEND360-AR,Milestone,Monthly,Net 15,2026-07-16,2027-07-15,False,Salesforce,2026-07-07
OPP-020,CUST-011,Delta SMB Co. - SaaS Platform FY26,Proposal,,2026-08-04,48000,48000,GBP,Managed Services,Diego Perez,60,BLEND360-UK,Subscription,Monthly,Net 60,2026-07-01,2027-06-30,False,Salesforce,2026-07-03
OPP-021,CUST-014,Vector Strategic Co. - Implementation Services FY26,Proposal,,2026-08-05,24000,18000,ARS,SaaS Platform,Tom Wilson,60,BLEND360-AR,Usage-Based,Annual,Net 45,2026-07-06,2027-07-05,False,Salesforce,2026-07-04
OPP-022,CUST-017,Orion Enterprise Co. - SaaS Platform FY26,Proposal,,2026-08-06,12000,12000,GBP,SaaS Platform,Lucia Santos,60,BLEND360-UK,Usage-Based,Monthly,Net 30,2026-07-11,2027-07-10,False,Salesforce,2026-07-05
OPP-023,CUST-020,Beacon Mid-Market Co. - Managed Services FY26,Proposal,,2026-08-07,60000,45000,ARS,Implementation Services,Ava Miller,60,BLEND360-AR,Professional Services,Monthly,Net 15,2026-07-16,2027-07-15,False,Salesforce,2026-07-06
OPP-024,CUST-023,Condor SMB Co. - Usage Analytics FY26,Proposal,,2026-08-08,48000,48000,GBP,Managed Services,Mia Johnson,60,BLEND360-UK,Milestone,Quarterly,Net 60,2026-07-01,2027-06-30,False,Salesforce,2026-07-07
OPP-025,CUST-001,Northstar Enterprise Co. - Managed Services FY26,Closed Lost,2026-07-05,2026-08-09,48000,36000,USD,Usage Analytics,Diego Perez,0,BLEND360-US,Usage-Based,Monthly,Net 30,2026-07-06,2027-07-05,False,Salesforce,2026-07-03
OPP-026,CUST-004,Aquila Mid-Market Co. - SaaS Platform FY26,Closed Lost,2026-07-06,2026-08-10,24000,18000,MXN,Usage Analytics,Tom Wilson,0,BLEND360-MX,Subscription,Monthly,Net 15,2026-07-11,2027-07-10,False,Salesforce,2026-07-04
OPP-027,CUST-007,Nexo SMB Co. - SaaS Platform FY26,Closed Lost,2026-07-07,2026-08-11,60000,45000,USD,SaaS Platform,Lucia Santos,0,BLEND360-US,Subscription,Quarterly,Net 60,2026-07-16,2027-07-15,False,Salesforce,2026-07-05
OPP-028,CUST-010,Rio Strategic Co. - Usage Analytics FY26,Closed Lost,2026-07-08,2026-08-12,12000,12000,MXN,Managed Services,Ava Miller,0,BLEND360-MX,Usage-Based,Annual,Net 45,2026-07-01,2027-06-30,False,Salesforce,2026-07-06
