dispute_id,invoice_id,customer_id,opened_date,disputed_amount,currency,reason_code,owner_team,root_cause,dispute_status,expected_resolution_date,cash_blocked_flag,created_at
DISP-00001,INV-000077,CUST-0016,2025-09-29,482.72,USD,Service quality,Billing,Manual error,open,2026-06-30,1,2025-09-29
DISP-00002,INV-000076,CUST-0016,2025-08-29,425.13,USD,Duplicate,Customer Success,Manual error,open,2026-06-30,1,2025-08-29
DISP-00003,INV-000080,CUST-0016,2026-03-01,493.49,USD,Billing error,Billing,Quote-to-cash gap,open,2026-06-30,1,2026-03-01
DISP-00004,INV-000079,CUST-0016,2026-01-29,569.08,USD,Service quality,Legal,Manual error,open,2026-06-30,0,2026-01-29
DISP-00005,INV-000642,CUST-0121,2026-03-30,649.38,USD,Billing error,Sales,Quote-to-cash gap,open,2026-06-30,1,2026-03-30
DISP-00006,INV-000165,CUST-0038,2025-08-14,338.29,EUR,Duplicate,Billing,Quote-to-cash gap,open,2026-06-30,1,2025-08-14
DISP-00007,INV-000641,CUST-0121,2026-03-02,795.9,USD,Billing error,Legal,Expectation gap,resolved,2026-06-30,1,2026-03-02
DISP-00008,INV-000644,CUST-0121,2026-05-28,489.7,USD,Billing error,Billing,Quote-to-cash gap,open,2026-06-30,1,2026-05-28
DISP-00009,INV-000643,CUST-0121,2026-04-27,695.98,USD,Service quality,Billing,Expectation gap,open,2026-06-30,0,2026-04-27
DISP-00010,INV-000061,CUST-0016,2026-01-29,490.7,USD,Duplicate,Customer Success,Expectation gap,open,2026-06-30,1,2026-01-29
DISP-00011,INV-000649,CUST-0122,2026-03-16,542.27,EUR,Service quality,Legal,Expectation gap,escalated,2026-06-30,1,2026-03-16
DISP-00012,INV-000253,CUST-0060,2025-07-23,677.23,USD,Billing error,Legal,Manual error,resolved,2026-06-30,0,2025-07-23
DISP-00013,INV-000138,CUST-0030,2026-05-30,633.77,USD,Service quality,Customer Success,Quote-to-cash gap,open,2026-06-30,0,2026-05-30
DISP-00014,INV-000651,CUST-0122,2026-05-12,515.63,EUR,Duplicate,Legal,Expectation gap,open,2026-06-30,1,2026-05-12
DISP-00015,INV-000072,CUST-0016,2026-05-28,998.96,USD,Service quality,Billing,Quote-to-cash gap,open,2026-06-30,0,2026-05-28
DISP-00016,INV-000202,CUST-0052,2025-06-29,762.67,USD,Billing error,Sales,Quote-to-cash gap,resolved,2026-06-30,1,2025-06-29
DISP-00017,INV-000211,CUST-0052,2026-03-30,1191.16,USD,Billing error,Sales,Manual error,resolved,2026-06-30,0,2026-03-30
DISP-00018,INV-000212,CUST-0052,2026-04-27,666.67,USD,Service quality,Billing,Quote-to-cash gap,open,2026-06-30,0,2026-04-27
DISP-00019,INV-000205,CUST-0052,2025-09-29,1142.31,USD,Service quality,Billing,Manual error,open,2026-06-30,0,2025-09-29
DISP-00020,INV-000067,CUST-0016,2025-11-29,1223.86,USD,Billing error,Billing,Expectation gap,resolved,2026-06-30,1,2025-11-29
